Scenario,Site ID,Product Group,Tank Product,Daily Volume (gal),Monthly Volume (gal 30 day),Daily Volume(b),Monthyl Volume (30 day b),Terminal,Freight Cost (30 days),Product Cost (30 days),Total Cost (30 days),Latitude,Longitude,Assigned Carrier,Home TCN,Home Terminal ,New TCN,New Terminal,Change?,Combo Terminal,Home Terminal City,New Terminal City,City Change?,City Change,Primary Terminal Miles,New Terminal Miles,Miles Diff,Primary Terminal Drivetime,New Terminal Drivetime,Drivetime Diff,Primary Freight Rate,New Freight Rate,Combo Freight Rate,Freight Rate Diff,Freight Rate Change?,Freight Rate Decrease?,Primary Terminal Freight Spend per Day,New Terminal Freight Spend per Day,Projected Freight Spend Change per Day,Primary Supply Rate,New Supply Rate,Combo Supply Rate,Supply Rate Diff,Supply Rate Change?,Supply Rate Decrease?,Primary Terminal Supply Spend per Day,New Terminal Supply Spend per Day,Projected Supply Spend Change per Day,Regular TCN,Premium Diff from Regular,New Premium TCN,New Premium Terminal,Total Cost (Regular + Premium Same TCN),Brand
Today,11291,Regular,GAS,587,17610,14,419,T-23-PA-1746711PA,466.665,347.9736,814.6386,39.7138,-75.6123,Regular,T-23-PA-1746711PA,Twin Oaks PA ETMT,T-23-PA-1746711PA,Twin Oaks PA ETMT,FALSE,Twin Oaks PA ETMT-->Twin Oaks PA ETMT,Twin,Twin,FALSE,Twin-->Twin,16.39999962,16.39999962,0,19,19,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,15.5555,15.5555,0,0.0198,0.0198,0.01976-->0.01976,0,FALSE,FALSE,11.5991,11.5991,0,T-23-PA-1746711PA,FALSE,T-23-PA-1746711PA,Twin Oaks PA ETMT,814.6385945,7-Eleven
Today,11291,Premium,GAS,120,3600,3,86,T-23-PA-1746711PA,95.4,71.136,166.536,39.7138,-75.6123,Premium,T-23-PA-1746711PA,Twin Oaks PA ETMT,T-23-PA-1746711PA,Twin Oaks PA ETMT,FALSE,Twin Oaks PA ETMT-->Twin Oaks PA ETMT,Twin,Twin,FALSE,Twin-->Twin,16.39999962,16.39999962,0,19,19,0,0.0265,0.0265,0.026-->0.026,0,FALSE,FALSE,3.18,3.18,0,0.0198,0.0198,0.01976-->0.01976,0,FALSE,FALSE,2.3712,2.3712,0,T-23-PA-1746711PA,FALSE,T-23-PA-1746711PA,Twin Oaks PA ETMT,166.5359989,7-Eleven
Today,20435,Regular,GAS,2212,66360,53,1580,T-23-PA-1734711PA,2581.4039,3799.11,6380.5139,40.1597,-75.2143,Regular,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,37,37,0,48,48,0,0.0389,0.0389,0.039-->0.039,0,FALSE,FALSE,86.0468,86.0468,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,126.637,126.637,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,6380.513941,7-Eleven
Today,20435,Premium,GAS,478,14340,11,341,T-23-PA-1734711PA,557.826,483.975,1041.801,40.1597,-75.2143,Premium,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,37,37,0,48,48,0,0.0389,0.0389,0.039-->0.039,0,FALSE,FALSE,18.5942,18.5942,0,0.0338,0.0338,0.03375-->0.03375,0,FALSE,FALSE,16.1325,16.1325,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,1041.800987,7-Eleven
Today,24555,Regular,GAS,773,23190,18,552,T-23-PA-1734711PA,973.98,1327.6275,2301.6075,40.2452,-75.2397,Regular,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,43.5,43.5,0,55,55,0,0.042,0.042,0.042-->0.042,0,FALSE,FALSE,32.466,32.466,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,44.2542,44.2542,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,2301.607487,7-Eleven
Today,24555,Premium,GAS,89,2670,2,64,T-23-PA-1734711PA,112.14,90.1125,202.2525,40.2452,-75.2397,Premium,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,43.5,43.5,0,55,55,0,0.042,0.042,0.042-->0.042,0,FALSE,FALSE,3.738,3.738,0,0.0338,0.0338,0.03375-->0.03375,0,FALSE,FALSE,3.0038,3.0038,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,202.2524985,7-Eleven
Today,30390,Regular,GAS,2150,64500,51,1536,T-23-PA-1734711PA,2096.2499,3692.625,5788.8749,40.0419,-75.476,Regular,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,29,29,0,39,39,0,0.0325,0.0325,0.032-->0.032,0,FALSE,FALSE,69.875,69.875,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,123.0875,123.0875,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,5788.874923,7-Eleven
Today,30390,Premium,GAS,574,17220,14,410,T-23-PA-1734711PA,559.65,581.175,1140.825,40.0419,-75.476,Premium,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,29,29,0,39,39,0,0.0325,0.0325,0.032-->0.032,0,FALSE,FALSE,18.655,18.655,0,0.0338,0.0338,0.03375-->0.03375,0,FALSE,FALSE,19.3725,19.3725,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,1140.824979,7-Eleven
Today,30392,Regular,GAS,1163,34890,28,831,T-23-PA-1734711PA,1018.788,1997.4525,3016.2405,40.1068,-75.1478,Regular,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,20.29999924,20.29999924,0,46,46,0,0.0292,0.0292,0.029-->0.029,0,FALSE,FALSE,33.9596,33.9596,0,0.0573,0.0573,0.05725-->0.05725,0,FALSE,FALSE,66.5817,66.5817,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,3016.240524,7-Eleven
Today,30392,Premium,GAS,521,15630,12,372,T-23-PA-1734711PA,456.396,527.5125,983.9085,40.1068,-75.1478,Premium,T-23-PA-1734711PA,Philadelphia PA ETMT,T-23-PA-1734711PA,Philadelphia PA ETMT,FALSE,Philadelphia PA ETMT-->Philadelphia PA ETMT,Philadelphia,Philadelphia,FALSE,Philadelphia-->Philadelphia,20.29999924,20.29999924,0,46,46,0,0.0292,0.0292,0.029-->0.029,0,FALSE,FALSE,15.2132,15.2132,0,0.0338,0.0338,0.03375-->0.03375,0,FALSE,FALSE,17.5838,17.5838,0,T-23-PA-1734711PA,FALSE,T-23-PA-1734711PA,Philadelphia PA ETMT,983.9085108,7-Eleven
